QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
334,1,2,1,1,1,2,2,4,4,4,4,1,2,3,2,4,2,2,2,2,0,100,0,0,3,3,2,0,5,5
335,1,2,.25,1,1,3,4,4,3,3,4,2,4,2,3,2,2,2,3,3,0,75,25,0,4,4,2,0,5,5
336,1,2,1,0,1,1,3,3,3,3,3,2,4,2,3,3,2,1,1,1,0,100,0,0,3,3,2,1,5,3
337,1,2,1,2,1,3,4,3,2,3,3,2,4,3,3,2,3,3,3,2,0,75,25,0,3,2,2,0,5,3
338,1,3,1,2,2,3,3,1,1,1,1,1,1,3,3,1,3,1,1,3,5,95,0,0,4,3,2,0,5,3
339,1,2,1,0,1,1,3,4,3,3,4,1,4,0,4,1,3,1,1,1,0,100,0,0,3,3,2,0,5,5
340,1,2,1,0,1,1,4,3,4,3,4,2,4,2,2,4,3,1,3,2,20,80,0,0,3,2,2,1,3,5
341,1,2,1,1,1,3,4,4,4,4,4,4,4,0,4,1,1,1,4,1,1,49,50,0,4,4,2,0,4,3
342,1,1,1,1,1,2,2,4,4,4,4,3,4,3,3,4,4,1,2,1,0,100,0,0,3,4,2,0,4,2
343,1,3,3,2,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,25,25,25,25,4,4,1,1,3,3
344,1,3,3,1,1,4,4,4,4,4,4,1,4,3,4,3,4,2,4,2,10,40,50,0,3,2,2,1,4,3
345,1,1,2,1,1,3,3,4,4,4,4,4,4,3,4,4,4,1,1,1,0,100,0,0,4,4,2,0,4,3
346,0, , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,1,5,5
347,1,1,.2,2,1,4,4,4,4,4,4,3,4,0,4,2,2,3,4,2,0,100,0,0,3,4,2,1,5,3
348,1,1,.25,0,1,1,2,2,2,2,2,1,2,3,1,1,1,3,3,1,0,100,0,0,3,2,2,1,5,5
349,1,1,1,2,1,3,1,3,2,3,3,2,1,2,1,3,1,3,3,2,10,90,0,0,3,4,2,0,5,4
350,0, , , , , , , , , , , , , , , , , , , , , , , , ,3,4,0,5,5
351,1,1,.2,1,1,2,3,4,3,2,2,2,3,0,1,3,1,1,3,1,0,100,0,0,1,1,2,1,5,5
352,1,3,3,2,1,3,4,4,4,4,4,3,4,2,2,4,3,1,2,2,0,100,0,0,4,3,2,0,5,5
353,1,3,1,1,1,4,3,4,2,4,4,3,4,3,4,3,4,4,4,3,5,90,5,0,4,4,1,1,3,3
354,1,3,2,1,2,3,4,3,4,4,4,4,3,3,2,4,4,1,4,2,0,70,30,0,3,3,2,0,2,2
355,1,2,2,0,1,2,3,4,4,4,4,4,4,3,1,2,4,4,4, ,0,100,0,0,4,4,2,0,4,4
356,1,1,2,2,1,1,1,4,4,4,4,2,4,2,4,4,1,1,3,2,10,90,0,0,3,3,1,1,1,2
357,1,4,4,2,2,4,4,4,4,4,4,4,4,1,1,1,4,4,4,1,0,100,0,0,3,4,1,1,3,3
358,1,2,1,1,1,4,4,4,3,3,3,2,4,2,4,4,4,2,2,2,0,50,50,0,3,2,2,1,2,3
359,1,4,4,1,1,1,1,4,3,3,3,3,1,2,4,2,4,2,4,3,0,98,2,0,4,4,2,0,3,2
360,1,3,1,0,1,1,1,4,4,4,4,3,2,3,4,4,4,3,2,2,0,80,20,0,3,3,2,0,3,2
361,1,2,.5,3,1,3,3,3,2,4,4,4,4,2,1,4,1,3,4,4,0,98,2,0,4,2,2,0,3,4
362,1,1,1,2,1,1,1,3,3,3,3,1,1,3,3,1,1,3,2,2,0,100,0,0,3,4,2,0,3,2
363,1,2,1,0,1,1,3,4,3,3,3,3,4,2,1,1,4,4,1,1,0,100,0,0,4,4,1,0,3,3
364,1,3,5,1,1,3,3,4,4,4,4,2,4,3,4,4,3,1,3,1,0,100,0,0,4,4,2,0,3,2
365,1,3,2,3,1,3,3,4,3,3,3,1,4,3,2,4,3,2,3,1,0,90,10,0,3,4,2,1,3,5
366,1,3,.5,0,2,1,4,4,3,3,3,3,4,2,1,4,1,2,4,3,20,75,5,0,3,4,2,0,3,2
367,1,3,2,2,1,2,2,3,3,4,4,3,3,2,3,3,4,4,3,2,0,100,0,0,2,3,2,0,3,2
368,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,0,2,4
369,1,2,2,1,1,3,4,4,4,4,4,2,4,2,4,3,3,4,3,3,0,70,30,0,3,4,2,1,2,2
370,1,4,1,1,3,2,4,4,3,4,4,3,3,3,3,4,4,3,4,3,0,90,10,0,4,3,2,0,4,5
371,1,1,1,1,1,3,4,4,4,4,4,3,4,2,4,3,1,4,4,2,0,95,5,0,2,3,2,1,2,2
372,1,3,2,1,1,1,4,4,4,4,4,4,4,1,1,1,1,3, ,1,0,100,0,0,3,3,2,1,3,2
373,1,1,1,1,1,3,3,4,2,4,4,4,4,3,4,1,4,2,1,1,0,75,25,0,4,4,1,1,3,3
374,1,1,1,1,1,2,4,4,4,2,3,3,4,3,3,4,3,1,3,3,0,50,50,0,4,4,2,1,3,3
375,1,1,1,1,1,3,4,4,4,4,4,3,4,3,2,4,3,3,3,3,0,100,0,0,4,4,4,1,5,4
376,1,1,1,1,1,2,3,3,3,4,4,3,3,3,4,4,2,2,2,2,0,75,25,0,4,4,2,1,4,5
377,1,2,1,2,2,3,3,4,4,4,4,3,3,3,3,2,3,4,3,2,0,90,10,0,4,4,2,0,4,3
378,1,2,2,0,1,2,4,4,3,3,4,3,4,2,2,3,3,3,2,2,0,100,0,0,3,3,1,1,3,2
379,1,2,.4,1,1,3,2,4,4,4,4,3,4,4,3,4,2,1,2,2,90,10,0,0,3,4,2,0,3,2
380,1,2,2,1,1,3,1,4,4,4,4,4,3,3,2,4,3,1,1,1,0,90,10,0,4,2,2,1,3,2
381,1,1,3,0,2,3,4,4,4,4,4,4,4,3,3,4,4,2,3,3,15,85,0,0,2,2,4,1,4,4
382,1,2,2,1,1,1,1,3,3,3,3,2,2,2,2,2,2,3,4,2,0,100,0,0,4,4,2,0,4,3
383,1,2,2,1,1,3,4,4,4,4,4,2,4,3,4,4,3,3,4,3,0,100,0,0,3,3,2,1,4,4
384,1,1,4,2,1,3,3,4,2,4,4,2,4,3,4,2,4,3,3,2,0,95,5,0,2,4,2,1,4,3
385,1,2,2,1,1,3,4,4,4,4,4,4,3,1,4,4,3,2,4,2,0,90,10,0,4,4,4,0,3,4
386,1,3,1,1,2,2,2,3,4,4, ,3,4,3,4,4,1,3,3,2,0,100,0,0,3,3,2,1,4,5
387,1,1,1,1,1,2,2,3,2,3,3,1,4,3,1,1,4,4,4,1,0,100,0,0,3,3,1,1,3,3
388,1,2,2,1,1,3,3,4,3,3,4,3,4,3,2,2,3,3,4,3,0,70,25,5,3,3,2,1,4,3
389,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,1,2,2
390,1,4,1,0,1,3,4,4,4,4,4,4,4,4,2,4,3,4,3,3,2,98,0,0,3,2,2,0,4,5
391,1,2,0,2,1,3,3,4,4,4,3,3,3,2,4,3,3,4,3,2,0,80,20,0,3,3,2,0,4,5
392,1,3,2,1,1,2,3,4,3,4,4,4,4,4,3,4,2,3,3,2,0,90,10,0,4,4,2,1,2,2
393,1,1,.5,2,1,1,3,3,3,3,3,1,4,1,4,1,3,4,1,1,0,0,100,0,4,4,2,1,3,2
394,1,3,2,1,3,3,3,4,4,3,4,3,3,3,3,4,2,4,3,2,0,100,0,0,4,4,1,0,2,2
395,1,2, ,1,1,1,2,4,3,3,4,3,4,2,3,3,4,2,3,3,0,95,5,0,2,3,1,1,3,3
396,1,3,1,1,1,2,3,4,3,4,4,2,3,2,4,4,1,2,3,2,50,40,10,0,4,2,3,0,1,1
397,0, , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,1,3,2
398,1,3,2,0,2,2,4,3,3,3,3,3,3,1,3,2,3,2,2,3,0,100,0,0,3,2,2,0,3,2
399,1,2,2,0,1,3,4,4,3,4,4,3,4,2,4,2,3,4,3,3,0,99,1,0,4,4,1,1,2,2
400,1,3,3,1,1,4,2,3,3,3,3,3,4,3,3,4,2,2,3,1,0,80,20,0,3,4,2,1,2,2
401,1,2,1,1,1,2,2,4,4,4,4,4,4,4,2,3,3,3,3,3, , , , ,3,3,2,1,3,3
402,1,3,1,1,1,4,4,3,1,2,3,2,4,3,2,3,4,2,3,3,0,90,10,0,4,3,1,1,2,1
403,1,3,3,1,1,3,3,4,4,4,4,3,4,3,4,4,3,4,3,2,0,90,10,0,3,3,1,1,1,2
404,1,1,.4,1,1,1,4,4,4,4,4,4,4,3,4,4,4,4,3,3,0,50,50,0,2,2,1,1,2,2
405,1,4,2,2,3,4,4,4,4,4,4,4,4,3,2,3,4,2,2,3,0,60,40,0,2,4,2,0,2,3
406,1,2,2,1,1,1,3,3,2,2,2,1,4,3,3,4,4,1,1,3,0,100,0,0,4,4,4,1,2,3
407,0, , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,3,2
408,1, , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,0,3,2
409,1,2,2,0,2,2,3,3,3,1,1,3,3,3,3,3,3,1,1,1,90,10,0,0,2,2,2,0,2,2
410,1,3,2,1,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,2,0,95,5,0,4,4,1,0,3,2
411,1,1,1,0,1,1,3,4,4,4,4,3,4,2,1,3,3,3,3,3, , , , ,1,1,4,1,2,2
412,1,2,1,1,1,2,1,3,1,1,3,1,1,2,4,4,1,4,2,1,0,100,0,0,2,4,2,0,2,2
413,1,2,1,0,1,3,3,3,3,4,4,2,4,3,3,3,3,4,3,1,0,80,20,0,3,4,1,1,3,4
414,1,3,1,0,1,1,3,3,3,3,3,3,3,2,3,3,3,1,3,3,0,95,5,0,4,3,2,1,3,2
415,1,4,3,1,1,3,4,4,4,4,4,3,4,3,3,4,4,3,3,3,0,75,25,0,3,4,2,1,4,3
416,1,3,2,0,1,1,3,3,3,3,4,2,4,2,3,3,3,2,1,1,25,55,19,1,4,4,2,1,3,2
417,1,3,2,0,1,1,1,2,1,1,2,1,1,0,1,3,2,3,3,2,0,40,60,0,4,2,2,0,1,2
418,1,1,.1,1,1,3,3,3,2,2,3,1,4,1,1,3,3,3,3,3,0,100,0,0,4,4,2,0,4,5
419,0, , , , , , , , , , , , , , , , , , , , , , , ,4,4,1,1,3,5
420,1,3,1,2,1,3,4,4,4,4,4,3,4,2,2,3,4,4,4,4,0,80,10,10,4,4,1,1,3,2
421,1,2,0,1,1,2,4,4,3,2,3,3,4,2,1,4,1,3,3,2,0,50,50,0,1,3,2,1,1,1
422,1,1,.16,2,1,2,2,4,4,4,4,1,4,2,4,1,2,3,4,2,0,100,0,0,3,4,2,1,3,5
423,1,1,1,1,1,4,4,4,3,4,4,3,4,3,3,4,3,1,2,2,0,100,0,0,3,4,2,1,4,4
424,1,1,0,1,1,2,3,4,3,4,4,3,4,2,4,3,4,3,3,2,0,75,25,0,4,4,3,1,4,3
425,1,2,1,2,1,3,4,4,3,3,4,3,4,3,2,2,3,2,3,2,0,100,0,0,2,3,2,1,3,2
426,1,2,1,1,1,2,4,4,3,3,3,2,4,4,3,3,2,3,4,2,0,100,0,0,4,3,2,1,3,2
427,1,3,1,2,1,1,1,4,4,3,3,4,4,4,4,4,4,1,3,1,25,75,0,0,4,4,2,1,4,3
428,1,2,4,0,1,3,4,4,4,3,3,3,4,2,3,4,3,3,2,2,10,70,20,0,3,4,2,1,3,2
429,1,2,.25,1,1,1,1,4,3,3,3,3,4,4,1,1,4,1,3,1,0,100,0,0,4,4,2,0,4,3
430,1,3,1,1,1,2,3,4,3,3,4,4,4,3,3,4,2,1,2,1,0,50,50,0,2,2,2,1,3,1
431,1,3,1,1,4,2,3,4,4,4,4,2,4,4,3,3,3,4,4,3,0,80,20,0,4,3,4,1,3,2
432,1,3,1,2,1,2,2,4,3,3,4,3,3,2,4,4,3,1,2,1,0,90,10,0,4,4,1,0,4,4
433,1,2,1,1,2,4,4,4,4,4,4,3,4,3,4,4,3,2,3,4,0,99,1,0,3,3,4,1,2,2
434,1,1,1,0,1,1,3,3,3,3,3,3,4,2,3,1,1,4,3,1,0,100,0,0,4,4,2,1,4,2
435,1,4,3,1,1,4,2,3,3,3,3,3,4,3,3,4,2,2,3,1,10,90,0,0,3,3,1,0,2,2
436,1,3,3,1,1,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,5,90,5,0,2,3,2,1,1,1
437,1,3,2,1,1,3,3,4,4,4,4,3,3,3,1,1,1,3,3,2,5,60,35,0,3,4,2,0,1,1
438,1,1,3,1,1,3,3,4,4,4,4,4,4,3,3,4,3,2,4,4,30,70,0,0,3,3,4,1,1,2
439,1,3,4,1,1,4,3,4,4,4,4,4,3,1,3,4,4,3,2,1,0,99,1,0,3,3,2,0,1,3
440,1,2,4,2,1,3,2,4,3,3,4,3,4,2,3,3,3,2,2,2,0,100,0,0,4,3,2,0,1,1
441,1,4,1,1,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0,100,0,0,3,3,1,1,1,1
442,1,3,1,1,1,3,4,4,4,4,4,4,4,2,3,3,4,3,3,3,0,100,0,0,4,3,1,1,1,1
443,1,2,1,1,1,1,1,4,3,4,4,4,3,4,2,3,1,4,3,2,40,50,8,2,3,4,2,0,1,1
444,1,3,1,1,1,3,3,4,4,4,4,3,4,3,1,1,1,4,3,1,50,50,0,0,4,4,2,0,1,1
445,1,3,1,0,1,1,4,4,4,3,4,4,4,3,3,4,1,2,1,1,50,50,0,0,3,4,2,1,1,1
446,1,1,1,0,1,1,3,3,3,3,3,3,4,2,3,4,3,2,3,1,20,70,10,0,3,3,2,1,1,1
447,1,2,2,1,1,2,4,4,4,4,4,3,4,3,4,3,3,1,2,1,0,10,90,0,4,4,4,1,1,2
448,1,3,2,1,1,4,4,4,2,3,2,1,4,3,4,3,4,4,3,3,0,30,70,0,3,3,2,1,1,2
449,1,3,2,1,1,3,4,4,4,4,4,3,4,4,4,4,2,2,3,2,0,100,0,0,3,3,2,1,1,2
450,1,3,1,1,1,3,3,4,3,4,4,3,4,3,4,4,3,3,4,3,0,100,0,0,3,3,2,1,1,3
451,1,3,12,2,2,4,4,4,4,3,3,3,4,2,3,4,4,4, , ,0,90,10,0,4,3,2,0,1,1
452,1,4,2,1,1,3,4,4,4,4,4,3,4,2,2,3,4,4,4,3,5,90,5,0,3,4,4,0,1,1
453,1,2,3,2,1,3,4,4,4,4,4,3,3,3,2,4,2,3,3, ,0,100,0,0,4,2,2,0,1,2
454,1,2,2,1,2,2,4,4,4,4,4,2,4,1,2,3,2,3,4,2,0,100,0,0,3,4,4,1,1,2
455,1,3,2,2,4,2,2,4,4,4,4,4,4,3,1,4,1,4,4,4,5,40,40,15,4,4,4,0,1,1
456,1,1,1,2,1,3,3,4,4,4,4,2,2,3,3,4,1,1,1,1,5,90,5,0,3,4,2,1,1,1
457,1,3,2,1,1,3,3,4,3,3,3,3,4,3,3,3,2,2,2,2,25,75,0,0,2,3,2,0,1,1
458,1,4,2,0,1,1,3,4,4,4,4,4,4,3,1,3,3,3,4,4,0,75,25,0,3,4,2,0,1,2
459,1,2,2,1,2,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,98,1,0,4,4,1,1,1,1
460,1,2,1,2,1,3,3,4,4,4,4,3,3,2,4,4,4,3,3,3,50,50,0,0,4,4,2,0,1,1
461,1,3,2,0,1,2,4,4,4,3,3,4,4,4,4,4,4,3,3,2,10,80,10,0,4,4,2,1,1,2
462,1,3,2,1,1,3,4,4,4,3,3,3,4,3,4,4,4,3,3,2,0,75,25,0,3,4,2,1,1,1
463,1,2,1,1,1,3,3,4,4,4,4,3,3,3,3,4,3,4,4,2,0,80,20,0,4,3,2,1,1,1
464,1,3,4,1,1,3,3,4,4,4,4,3,3,3,2,4,4,2,3,3,10,75,15,0,3,4,2,1,1,1
465,1,3,2,2,1,3,3,4,3,2,3,2,4,1,4,4,4,2,2,2,0,100,0,0,3,4,2,1,1,1
466,1,2,1,2,1,2,3,4,4,4,4,3,4,2,3,4,3,3,3,1,0,100,0,0,4,4,2,1,1,1
467,1,3,2,2,1,2,2,4,4,4,4,2,3,3,2,4,3,2,3,2,50,40,10,0,2,2,2,1,1,1
468,1,3,2,0,1,1,3,4,4,4,4,3,4,3,3,4,2,2,3,1,5,90,5,0,3,3,2,1,1,1
469,1,3,2,0,1,1,3,4,4,4,4,3,4,2,1,4,2,3,3,3,0,100,0,0,4,4,2,0,1,1
470,1,2,1,0,1,1,3,4,3,3,4,3,4,3,3,3,2,1,3,1,0,100,0,0,2,4,1,1,1,2
471,1,3,6,1,1,2,4,4,2,4,3,1,4,3,1,3,1,1,3,1,20,75,5,0,3,3,2,0,1,1
472,1,3,1,0,1,1,1,3,4,3,4,2,3,2,2,4,3,2,3,2,0,95,5,0,3,3,2,0,1,1
473,1,2,1,2,1,2,2,3,3,3,4,3,4,2,4,4,2,4,4,3,10,90,0,0,3,3,1,0,1,1
474,1,3,2,1,1,3,4,4,4,4,4,3,4,1,4,4,3,2,3,2,40,40,10,10,3,3,2,0,1,1
475,1,1,.5,0,1,2,2,3,3,4,4,1,3,2,1,3,3,4,3,1,0,100,0,0,4,4,4,0,1,2
476,1,3,2,0,1,1,2,3,3,3,3,3,4,3,4,4,3,2,3,2,30,60,10,0,3,4,2,1,1,1
477,1,2,1,2,1,3,3,4,4,4,4,4,4,3,2,2,3,3,3,3,0,100,0,0,4,4,2,0,1,1
478,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,20,20,30,1,1,1,1,1,1
479,1,2,3,0,3,4,3,4,4,4,4,4,4,2,3,3,4,3,3,4,0,100,0,0,4,3,2,0,1,1
480,1,3,3,0,2,3,4,4,4,4,4,4,3,3,2,4,2,4,4,3,30,60,10,0,4,4,2,0,1,2
481,1,2,2,0,1,3,2,3,3,1,1,3,3,4,4,2,3,1,1,1,80,20,0,0,2,3,1,1,1,1
482,1,3,2,1,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,2,0,95,5,0,4,4,1,0,1,2
483,1,1,1,0,1,1,3,4,4,4,4,3,4,2,1,3,3,3,3,3, , , , ,1,1,4,1,1,2
484,1,2,1,1,1,2,1,3,1,1,3,1,1,2,4,4,1,4,2,1,0,100,0,0,2,4,2,0,1,2
485,1,2,1,0,1,3,3,3,3,4,4,2,4,3,3,3,3,4,3,1,0,80,20,0,3,4,1,1,1,1
486,1,3,1,0,1,1,3,3,3,3,3,3,3,2,3,3,3,1,3,3,0,95,5,0,4,3,2,1,1,2
487,1,4,3,1,1,3,4,4,4,4,4,3,4,3,3,4,4,3,3,3,0,75,25,0,3,4,2,1,1,1
488,1,3,2,0,1,1,3,3,3,3,4,2,4,2,3,3,3,2,1,1,25,55,19,1,4,4,2,1,1,1
489,1,3,2,0,1,1,1,2,1,1,2,1,1,0,1,3,2,3,3,2,0,40,60,0,4,2,2,0,1,2
490,1,2,2,0,1,2,4,4,3,3,4,3,4,2,2,3,3,3,2,2,0,100,0,0,3,3,1,1,1,1
491,1,2,2,1,1,3,1,4,4,4,4,4,3,3,2,4,3,1,1,1,0,90,10,0,4,2,2,1,1,2
492,1,1,3,0,2,3,4,4,4,4,4,4,4,3,3,4,4,2,3,3,15,85,0,0,2,2,4,1,1,1
493,1,2,2,1,1,1,1,3,3,3,3,2,2,2,2,2,2,3,4,2,0,100,0,0,4,4,2,0,1,1
494,1,2,2,1,1,3,4,4,4,4,4,2,4,3,4,4,3,3,4,3,0,100,0,0,3,3,2,1,1,1
495,1,1,4,2,1,3,3,4,2,4,4,2,4,3,4,2,4,3,3,2,0,95,5,0,2,4,2,1,1,1
496,1,2,2,1,1,3,4,4,4,4,4,4,3,1,4,4,3,2,4,2,0,90,10,0,4,4,4,0,1,1
497,1,3,1,1,2,2,2,3,4,4, ,3,4,3,4,4,1,3,3,2,0,100,0,0,3,3,2,1,1,1
498,1,1,1,1,1,2,2,3,2,3,3,1,4,3,1,1,4,4,4,1,0,100,0,0,3,3,1,1,1,1
499,1,2,2,1,1,3,3,4,3,3,4,3,4,3,2,2,3,3,4,3,0,70,25,5,3,3,2,1,1,1
500,1,3,3,1,1,4,2,3,3,3,3,3,4,3,3,4,2,2,3,1,0,80,20,0,3,4,2,1,1,2
